usdot_num,id,user_created,date_created,user_updated,date_updated,complaint_category,complaint_year,complaint_count
3491781,87523891-8920-464d-8613-506c0da422d1,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.173Z,,,Estimates/Final Charges,2022,6
1151019,875564c3-691f-407c-9397-bb1afd96eb56,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.639Z,,,Shipment Documents,2023,1
3491781,87686c1f-c558-4609-bdc0-a9bd3f01a149,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.194Z,,,Shipment Documents,2023,5
2372043,87979f66-ceb2-4cf8-8acd-bac274b8248e,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.118Z,,,Shipment Documents,2022,4
1664920,87d62fc0-310b-4e2c-a629-8d57686d15dc,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.036Z,,,Consumer Complaint(Deceptive Business Practices),2022,1
3505390,88003cdc-8ef9-441e-8e49-853629fee135,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:26.666Z,,,Estimates/Final Charges,2021,2
3734350,884baf7b-cba8-4463-b98c-196f06aae401,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.160Z,,,Consumer Complaint(Deceptive Business Practices),2022,1
3491781,88883b56-8b12-4de6-bc55-3b01e5530b15,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.166Z,,,Consumer Complaint(Deceptive Business Practices),2021,4
2886867,89224b14-433b-442d-83bd-297429bddccc,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.356Z,,,Loss and Damage,2021,6
3179208,892afff8-9004-4cdc-bec4-f9a9538655c1,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.937Z,,,Claim Settlement,2021,1
3174328,8ac6d0d7-f0be-47a4-9bea-2a74d65a842f,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.188Z,,,Insurance,2023,1
3179208,8b5d5c8e-e0ea-4199-9232-03762f5ac6b0,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.942Z,,,Loss and Damage,2022,1
3405773,8cf93c76-ddeb-4afa-9285-50865cb2b9c6,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.068Z,,,Estimates/Final Charges,2022,1
1748105,8d0a8cbc-5953-4cba-a70a-87b6e8c6d689,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.223Z,,,Loss and Damage,2022,1
2247863,8d0d510b-dcc3-4df0-aa8b-db268708fcbe,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.341Z,,,Consumer Complaint(Deceptive Business Practices),2023,1
2886867,8dfb656c-6710-4c4a-94b4-a5effd897ffb,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.388Z,,,Shipment Documents,2023,1
3405773,8e357c94-2563-4c99-ac4e-638ef17ea7a3,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.055Z,,,Pickup and Delivery,2021,2
2239995,8e6c14eb-1a68-4851-8d17-41f3f12632b4,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.441Z,,,Insurance,2022,1
2239995,90854798-d079-46af-abb4-8b2693db4a07,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.479Z,,,Claim Settlement,2023,1
2886867,9169b471-6645-4847-8109-e5cb0ff419a8,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.386Z,,,Consumer Complaint(Deceptive Business Practices),2022,3
1151019,91ac9327-21d6-4f15-b056-b747b72d4a94,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.632Z,,,Loss and Damage,2022,1
3180335,91bcd1ca-9987-406c-acaa-c59b0830aa78,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.023Z,,,Shipment Documents,2023,1
3006268,928994a8-0793-470c-a0af-e3fb8ff5368f,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.921Z,,,Shipment Documents,2022,2
2249592,930b7b63-1bdb-48f1-80a1-7b394e271680,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.511Z,,,Pickup and Delivery,2021,1
1151019,94812349-4bac-49f1-86e8-b6e99f4d9e30,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.605Z,,,Weighing,2021,3
2247863,95b20922-16e8-4e54-95fb-a3c9936bab0d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.321Z,,,Operating Authority,2023,1
